Internal ID,Name,Merchandise Hierarchy
114083,#P BRACELET,Noul Korea Accessories : Jewelry : Bracelet
114314,#P BRACELET : #P BRACELET-SILVER-O,Noul Korea Accessories : Jewelry : Bracelet
116697,#U EARRING,OF Korea Accessories : Jewelry : Earrings
116903,#U EARRING : #U EARRING-SILVER-O,OF Korea Accessories : Jewelry : Earrings
129553,Adjustment Refund Item,
56297,BA-1058-117-W,OF China Accessories : Accessory : Bag
74485,BA-1058-117-W : BA-1058-117-W-BLACK-O,OF China Accessories : Accessory : Bag
74486,BA-1058-117-W : BA-1058-117-W-OLIVE-O,OF China Accessories : Accessory : Bag
56296,BA-1254-117-W,OF China Accessories : Accessory : Bag
74487,BA-1254-117-W : BA-1254-117-W-BLACK-O,OF China Accessories : Accessory : Bag
74488,BA-1254-117-W : BA-1254-117-W-OFF WHITE-O,OF China Accessories : Accessory : Bag
56295,BA-1255-117-W,OF China Accessories : Accessory : Bag
74489,BA-1255-117-W : BA-1255-117-W-BLACK-O,OF China Accessories : Accessory : Bag
74490,BA-1255-117-W : BA-1255-117-W-OFF WHITE-O,OF China Accessories : Accessory : Bag
74491,BA-1255-117-W : BA-1255-117-W-TAN-O,OF China Accessories : Accessory : Bag
56293,BA-1256-117-W,OF China Accessories : Accessory : Bag
74492,BA-1256-117-W : BA-1256-117-W-BLACK-O,OF China Accessories : Accessory : Bag
74493,BA-1256-117-W : BA-1256-117-W-OLIVE-O,OF China Accessories : Accessory : Bag
94800,BA-1267-117-W,OF China Accessories : Accessory : Bag
95499,BA-1267-117-W : BA-1267-117-W-BLACK-O,OF China Accessories : Accessory : Bag
95500,BA-1267-117-W : BA-1267-117-W-OFF WHITE-O,OF China Accessories : Accessory : Bag
95501,BA-1267-117-W : BA-1267-117-W-PINK-O,OF China Accessories : Accessory : Bag
99213,BA-1267-117-W : BA-1267-117-W-TAN-O,OF China Accessories : Accessory : Bag
56292,BA-1268-117-W,OF China Accessories : Accessory : Bag
74494,BA-1268-117-W : BA-1268-117-W-BLACK-O,OF China Accessories : Accessory : Bag
74495,BA-1268-117-W : BA-1268-117-W-PINK-O,OF China Accessories : Accessory : Bag
94799,BA-1269-117-W,OF China Accessories : Accessory : Bag
95498,BA-1269-117-W : BA-1269-117-W-BLACK-O,OF China Accessories : Accessory : Bag
95502,BA-1269-117-W : BA-1269-117-W-OFF WHITE-O,OF China Accessories : Accessory : Bag
99216,BA-1269-117-W : BA-1269-117-W-TAN-O,OF China Accessories : Accessory : Bag
99114,BA-1280-117-W,OF China Accessories : Accessory : Bag
99215,BA-1280-117-W : BA-1280-117-W-BLACK-O,OF China Accessories : Accessory : Bag
99214,BA-1280-117-W : BA-1280-117-W-LT.PINK-O,OF China Accessories : Accessory : Bag
99217,BA-1280-117-W : BA-1280-117-W-OFF WHITE-O,OF China Accessories : Accessory : Bag
99113,BA-1281-117-W,OF China Accessories : Accessory : Bag
99220,BA-1281-117-W : BA-1281-117-W-BLACK-O,OF China Accessories : Accessory : Bag
99218,BA-1281-117-W : BA-1281-117-W-LT.PINK-O,OF China Women : Top : Dress
99219,BA-1281-117-W : BA-1281-117-W-OFF WHITE-O,OF China Women : Top : Dress
94798,BA-1341-117-W,OF China Accessories : Accessory : Bag
95503,BA-1341-117-W : BA-1341-117-W-CREAM MIX-O,OF China Accessories : Accessory : Bag
99115,BA-1482-117-W,OF China Accessories : Accessory : Bag
99221,BA-1482-117-W : BA-1482-117-W-CREAM MIX-O,OF China Women : Top : Dress
99116,BA-1483-117-M,OF China Accessories : Accessory : Bag
99222,BA-1483-117-M : BA-1483-117-M-BLACK-O,OF China Women : Top : Dress
116346,BA-1500-317-M,OF China Accessories : Accessory : Bag
116530,BA-1500-317-M : BA-1500-317-M-BLACK-OS,OF China Accessories : Accessory : Bag
116348,BA-1505-317-W,OF China Accessories : Accessory : Bag
116534,BA-1505-317-W : BA-1505-317-W-BLACK-OS,OF China Accessories : Accessory : Bag
116535,BA-1505-317-W : BA-1505-317-W-MAROON-OS,OF China Accessories : Accessory : Bag
115908,BA-1506-317-W,OF China Accessories : Accessory : Bag
116013,BA-1506-317-W : BA-1506-317-W-BLACK-OS,OF China Accessories : Accessory : Bag
116189,BA-1506-317-W : BA-1506-317-W-MAROON-OS,OF China Accessories : Accessory : Bag
94801,BA-1704-117-W,OF China Accessories : Accessory : Bag
95504,BA-1704-117-W : BA-1704-117-W-CREAM MIX-O,OF China Accessories : Accessory : Bag
116344,BA-1727-317-W,OF China Accessories : Accessory : Bag
116531,BA-1727-317-W : BA-1727-317-W-BLACK-OS,OF China Accessories : Accessory : Bag
116532,BA-1727-317-W : BA-1727-317-W-MAROON-OS,OF China Accessories : Accessory : Bag
128951,BA-1736-317-W,OF China Accessories : Accessory : Bag
129052,BA-1736-317-W : BA-1736-317-W-BLACK-O,OF China Accessories : Accessory : Bag
129049,BA-1736-317-W : BA-1736-317-W-BURGUNDY-O,OF China Accessories : Accessory : Bag
124445,BA-1902-317-W,OF China Accessories : Accessory : Bag
124546,BA-1902-317-W : BA-1902-317-W-BEIGE-OS,OF China Accessories : Accessory : Bag
124548,BA-1902-317-W : BA-1902-317-W-BLACK-OS,OF China Accessories : Accessory : Bag
115913,BA-1913-317-W,OF China Accessories : Accessory : Bag
116025,BA-1913-317-W : BA-1913-317-W-BLACK-OS,OF China Accessories : Accessory : Bag
116027,BA-1913-317-W : BA-1913-317-W-BROWN-OS,OF China Accessories : Accessory : Bag
138663,BA-1936-217-W,OF China Accessories : Bags : Backpack
138763,BA-1936-217-W : BA-1936-217-W-Connector Black-M,OF China Accessories : Bags : Backpack
138764,BA-1936-217-W : BA-1936-217-W-Connector Black-S,OF China Accessories : Bags : Backpack
138765,BA-1936-217-W : BA-1936-217-W-Connector Black-XS,OF China Accessories : Bags : Backpack
140363,BA-1936-217-W : BA-1936-217-W-Dark Gray-M,OF China Accessories : Bags : Backpack
140364,BA-1936-217-W : BA-1936-217-W-Dark Gray-S,OF China Accessories : Bags : Backpack
140365,BA-1936-217-W : BA-1936-217-W-Dark Gray-XS,OF China Accessories : Bags : Backpack
128948,BA-1979-118-W,OF China Accessories : Accessory : Bag
129050,BA-1979-118-W : BA-1979-118-W-BLACK-O,OF China Accessories : Accessory : Bag
129051,BA-1979-118-W : BA-1979-118-W-RED-O,OF China Accessories : Accessory : Bag
149268,BA-1980-118-W,OF China Accessories : Bags : Shoulder Bag
149870,BA-1980-118-W : BA-1980-118-W-BLACK-OS,OF China Accessories : Bags : Shoulder Bag
149868,BA-1980-118-W : BA-1980-118-W-GRAY-OS,OF China Accessories : Bags : Shoulder Bag
149270,BA-1981-118-W,OF China Accessories : Bags : Shoulder Bag
149869,BA-1981-118-W : BA-1981-118-W-BLACK-OS,OF China Accessories : Bags : Shoulder Bag
149871,BA-1981-118-W : BA-1981-118-W-GRAY-OS,OF China Accessories : Bags : Shoulder Bag
124133,BIG TRIANGLE,OF Korea Accessories : Jewelry : Ring
124235,BIG TRIANGLE : BIG TRIANGLE RING-SILVER-O,OF Korea Accessories : Jewelry : Ring
56300,BL-1059-117-W,OF China Accessories : Accessory : Belt
74518,BL-1059-117-W : BL-1059-117-W-BLACK-M,OF China Accessories : Accessory : Belt
74519,BL-1059-117-W : BL-1059-117-W-BLACK-S,OF China Accessories : Accessory : Belt
74521,BL-1059-117-W : BL-1059-117-W-CREAM-M,OF China Accessories : Accessory : Belt
74520,BL-1059-117-W : BL-1059-117-W-CREAM-S,OF China Accessories : Accessory : Belt
94802,BR-1714-117-W,OF China Accessories : Jewelry : Bracelet
95505,BR-1714-117-W : BR-1714-117-W-MATTE GOLD-O,OF China Accessories : Jewelry : Bracelet
95506,BR-1714-117-W : BR-1714-117-W-MATTE SILVER-O,OF China Accessories : Jewelry : Bracelet
119741,BR-1997-317-W,OF China Accessories : Jewelry : Bracelet
119862,BR-1997-317-W : BR-1997-317-W-GOLD-OS,OF China Accessories : Jewelry : Bracelet
119861,BR-1997-317-W : BR-1997-317-W-SILVER-OS,OF China Accessories : Jewelry : Bracelet
127864,BR-2078-317-W,OF China Accessories : Jewelry : Bracelet
127983,BR-2078-317-W : BR-2078-317-W-GOLD-OS,OF China Accessories : Jewelry : Bracelet
127986,BR-2078-317-W : BR-2078-317-W-SILVER-OS,OF China Accessories : Jewelry : Bracelet
127863,BR-2079-317-W,OF China Accessories : Jewelry : Bracelet
127984,BR-2079-317-W : BR-2079-317-W-GOLD-OS,OF China Accessories : Jewelry : Bracelet
127987,BR-2079-317-W : BR-2079-317-W-SILVER-OS,OF China Accessories : Jewelry : Bracelet
137363,BT-2625-118-H,Home Line Production : Homeware : Miscellaneous
137463,BT-2625-118-H : BT-2625-118-H-GRAY-O,Home Line Production : Homeware : Miscellaneous
140563,BT-2665-118-H,Home Line Production : Bath : Soapdish
140664,BT-2665-118-H : BT-2665-118-H-WHITE-O,Home Line Production : Bath : Soapdish
140564,BT-2666-118-H,Home Line Production : Bath : Soapdish
140663,BT-2666-118-H : BT-2666-118-H-WHITE-O,Home Line Production : Bath : Soapdish
138964,China Sample,
139070,China Sample : China Sample - DR,
139072,China Sample : China Sample - KT,
139074,China Sample : China Sample - PT,
139071,China Sample : China Sample - SW,
139073,China Sample : China Sample - WT,
149267,China TOP Sample (Paid),
141365,ChinaSample,
142764,ChinaSample : China Sample-BAG-$20,
142264,ChinaSample : China Sample-CD-$30,
142265,ChinaSample : China Sample-CD-$40,
141466,ChinaSample : China Sample-DR-$20,
141464,ChinaSample : China Sample-DR-$30,
142765,ChinaSample : China Sample-IN-$5,
142266,ChinaSample : China Sample-JU-$10,
142364,ChinaSample : China Sample-JU-$20,
142267,ChinaSample : China Sample-KT-$10,
142270,ChinaSample : China Sample-KT-$20,
142268,ChinaSample : China Sample-KT-$5,
142269,ChinaSample : China Sample-OW-$30,
142271,ChinaSample : China Sample-OW-$40,
142273,ChinaSample : China Sample-OW-$60,
142272,ChinaSample : China Sample-PT-$10,
142274,ChinaSample : China Sample-PT-$20,
142275,ChinaSample : China Sample-SK-$10,
142276,ChinaSample : China Sample-SK-$20,
142277,ChinaSample : China Sample-SW-$20,
142278,ChinaSample : China Sample-SW-$30,
142279,ChinaSample : China Sample-VE-$10,
142280,ChinaSample : China Sample-VE-$20,
142281,ChinaSample : China Sample-WT-$10,
142282,ChinaSample : China Sample-WT-$20,
116762,COMERIP DRESS,OF Korea Women : Top : Dress
116982,COMERIP DRESS : COMERIP DRESS-CREAM-S,OF Korea Women : Top : Dress
104417,DE-1017-117-H,Home Line Production : Decoration
104518,DE-1017-117-H : DE-1017-117-H-GRAY-OS,Home Line Production : Decoration
104516,DE-1017-117-H : DE-1017-117-H-WHITE-OS,Home Line Production : Decoration
97915,DE-1034-117-H,Home Line Production : Decoration
109538,DE-1034-117-H : DE-1034-117-H-TAN-OS,Home Line Production : Decoration
94803,DE-1035-117-H,Home Line Production : Decoration
95507,DE-1035-117-H : DE-1035-117-H-CREAM-O,Home Line Production : Decoration : Objects
94807,DE-1036-117-H,Home Line Production : Decoration
95509,DE-1036-117-H : DE-1036-117-H-CREAM-O,Home Line Production : Decoration : Objects
112041,DE-1037-117-H,Home Line Production : Decoration : Objects
112144,DE-1037-117-H : DE-1037-117-H-BLACK-S,Home Line Production : Decoration : Objects
112140,DE-1037-117-H : DE-1037-117-H-BROWN-S,Home Line Production : Decoration : Objects
112040,DE-1038-117-H,Home Line Production : Decoration : Objects
112142,DE-1038-117-H : DE-1038-117-H-BLACK-L,Home Line Production : Decoration : Objects
112143,DE-1038-117-H : DE-1038-117-H-BROWN-L,Home Line Production : Decoration : Objects
112244,DE-1864-217-H,Home Line Production : Decoration
112265,DE-1864-217-H : DE-1864-217-H-GRAY-OS,Home Line Production : Decoration
112266,DE-1864-217-H : DE-1864-217-H-WHITE-OS,Home Line Production : Decoration
112042,DE-1874-217-H,Home Line Production : Decoration : Objects
112141,DE-1874-217-H : DE-1874-217-H-GREEN-O,Home Line Production : Decoration : Objects
112045,DE-1875-217-H,Home Line Production : Decoration : Objects
112145,DE-1875-217-H : DE-1875-217-H-BLACK-S,Home Line Production : Decoration : Objects
112046,DE-1876-217-H,Home Line Production : Decoration : Objects
112146,DE-1876-217-H : DE-1876-217-H-BLACK-M,Home Line Production : Decoration : Objects
112047,DE-1877-217-H,Home Line Production : Decoration : Objects
112147,DE-1877-217-H : DE-1877-217-H-BLACK-L,Home Line Production : Decoration : Objects
112243,DE-1891-217-H,Home Line Production : Decoration
112259,DE-1891-217-H : DE-1891-217-H-GRAY-OS,Home Line Production : Decoration
112261,DE-1891-217-H : DE-1891-217-H-LT.PINK-OS,Home Line Production : Decoration
112263,DE-1891-217-H : DE-1891-217-H-WHITE-OS,Home Line Production : Decoration
112240,DE-1894-217-H,Home Line Production : Decoration
112260,DE-1894-217-H : DE-1894-217-H-GRAY-OS,Home Line Production : Decoration
112262,DE-1894-217-H : DE-1894-217-H-LT.PINK-OS,Home Line Production : Decoration
112264,DE-1894-217-H : DE-1894-217-H-WHITE-OS,Home Line Production : Decoration
128949,DE-2428-417-H,Home Line Wholesale : Decoration
129048,DE-2428-417-H : DE-2428-417-H-BROWN-O,Home Line Wholesale : Decoration
136766,DE-2555-118-H,Home Line Production : Decoration : Objects
137267,DE-2555-118-H : DE-2555-118-H-BROWN-OS,Home Line Production : Decoration : Objects
136764,DE-2556-118-H,Home Line Production : Decoration : Objects
137269,DE-2556-118-H : DE-2556-118-H-BROWN-OS,Home Line Production : Decoration : Objects
